Title,Year,Console,Publisher,Developer,Genre,Format,Summary,Rating,Value,Condition
Red Faction,2001,PlayStation 2,THQ,Volition,First-Person Shooter,Physical,Mars rebellion with fully destructible environments and underground resistance,78,12.99,Good
Return to Castle Wolfenstein,2002,PlayStation 2,Activision,Gray Matter Interactive,First-Person Shooter,Physical,WWII supernatural warfare against Nazi occult experiments and undead forces,77,24.99,Good
Rock Band 2,2008,Xbox 360,MTV Games / Microsoft,Harmonix,Music/Rhythm,Physical,Rhythm game where players perform as a band using instruments to rock through popular tracks,8.5,9,Complete
Spider-Man 2,2004,PlayStation 2,Activision,Treyarch,Action,Physical,Web-swinging through Manhattan with movie-based storyline and open-world exploration,83,19.99,Good
Star Wars: Rogue Squadron,1998,Nintendo 64,LucasArts (NA) / Nintendo (EU),Factor 5 & LucasArts,Action-Arcade Flight,Physical,"Pilot as Luke Skywalker in fast-paced Star Wars flight combat missions, enhanced with Expansion Pak visuals",9,18.06,Loose
Super Bomberman 2,1994,Super Nintendo,Hudson Soft,Produce!,Action/Maze/Party,Physical,Navigate Bomberman through maze levels with power-ups and alien bosses; supports chaotic 4-player battle mode,8.5,31.57,Loose
Super Mario Bros. 3,1990,Nintendo Entertainment System,Nintendo,Nintendo EAD,Platformer/Action-Adventure,Physical,"Mario travels across varied worlds using new power-ups, strategic overworld map, inventive level design",9.5,18.99,Loose
Super Mario Galaxy,2007,Nintendo Wii,Nintendo,Nintendo EAD,Platformer,Physical,Mario travels through creatively designed galaxies using gravity-bending platforming to collect Power Stars in cosmic levels,9.7,15.59,Complete
Super Mario Kart Wii,2008,Nintendo Wii,Nintendo,Nintendo EAD,Racing,Physical,"Race through new and classic tracks with Mario characters, introducing bikes, tricks, and expanded online racing",8.2,28.94,Complete
Super Mario World,1991,Super Nintendo,Nintendo,Nintendo EAD,Platformer/Action-Adventure,Physical,"Mario travels Dinosaur Land with Yoshi, Cape Feather, expanded world map, showcasing vibrant SNES platforming at launch",9.4,16.49,Loose
Tetris & Dr. Mario,1994,Super Nintendo,Nintendo,Nintendo R&D1 (Intelligent Systems),Puzzle,Physical,"Remade versions of Tetris and Dr. Mario with enhanced graphics, two-player versus, and Mixed Match mode",8.5,20.45,Loose
The Legend of Zelda (Gold Cartridge),1987,Nintendo Entertainment System,Nintendo,Nintendo,Action-Adventure/Role-Playing,Physical,"Link explores dungeons across Hyrule to rescue Princess Zelda, pioneering action-adventure gameplay on NES",9.5,24.99,Loose
The Legend of Zelda: Ocarina of Time,1998,Nintendo 64,Nintendo,Nintendo EAD,Action-Adventure,Physical,Link travels through time across Hyrule using ocarina-based puzzles and Z-Targeting in a cinematic 3D adventure,9.9,35.42,Loose
The Legend of Zelda: Tears of the Kingdom,2023,Nintendo Switch,Nintendo,Nintendo EPD,Action-Adventure/Open World,Physical,"Link explores sky islands and underground Chasms using new abilities like Ultral Hand and Recall in a vast, inventive open world",9.6,42.32,Complete
The Suffering,2004,PlayStation 2,Midway Games,Surreal Software,Survival Horror,Physical,Psychological horror on death row with supernatural creatures and moral choices,77,44.99,Good
Tiger Woods PGA Tour 08,2007,PlayStation Portable,EA Sports,EA Tiburon,Sports/Golf,Physical,"Realistic golf simulation with Shot Confidence, FedExCup mode, and extensive golfer roster and courses",7.2,5.5,Loose
Trine 4: The Nightmare Prince,2019,Nintendo Switch,Modus Games,Frozenbyte,Action/Puzzle Platformer,Physical,Enchanting co-op platformer blending physics puzzles and fantasy combat in stunning 2.5D fairytale worlds,8,14.66,Loose
Wii Fit,2007,Nintendo Wii,Nintendo,Nintendo EAD,Exergaming/Health,Physical,"Fun fitness game using the Balance Board for yoga, aerobics, and balance activities to promote family exercise",8,7.99,New (Sealed)
Wii Play,2007,Nintendo Wii,Nintendo,Nintendo EAD,Party/Compilation,Physical,"Collection of simple Wii Remote minigames—like billiards and fishing—gamely fun, originally bundled with an extra controller",6,8.99,Complete
Wii Sports,2006,Nintendo Wii,Nintendo,Nintendo EAD,Sports/Party,Physical,"Motion-based sports including Tennis, Bowling, Boxing, Baseball, and Golf; intuitive gameplay made it a cultural launch icon",7,24.99,Complete (with original sleeve)
Wii Sports Resort,2009,Nintendo Wii,Nintendo,Nintendo EAD,Sports/Party,Physical,"A tropical resort of 12 MotionPlus-enhanced sports modes—from archery to swordplay—delivering intuitive, motion-controlled gameplay",8.5,30,Complete
"Ultima: Exodus","1987","Nintendo Entertainment System (NES)","FCI","Origin Systems/Newtopia Planning","RPG","Cartridge","Port of the classic computer RPG Ultima III to the NES. Players create a party of four adventurers to explore Sosaria and defeat the evil Exodus. Features turn-based combat, character creation, and an expansive world to explore.","Not Rated","$24","Disc/Cart Only"
"Metroid","1987","Nintendo Entertainment System (NES)","Nintendo","Nintendo R&D1/Intelligent Systems","Action-Adventure/Platformer","Cartridge","Pioneering sci-fi action-adventure where bounty hunter Samus Aran explores planet Zebes to destroy Mother Brain and the Space Pirates. Features non-linear exploration, power-up progression, and multiple endings based on completion time.","8.5/10","$32","Disc/Cart Only"
"The Legend of Zelda: Spirit Tracks","2009","Nintendo DS","Nintendo","Nintendo EAD","Action-Adventure","Cartridge","Link embarks on a train-based adventure as an engineer, exploring New Hyrule with Princess Zelda's spirit while battling the demon Malladus who threatens the land.","E","$22","Disc/Cart Only"
"Phineas and Ferb","2009","Nintendo DS","Disney Interactive Studios","Altron","Platform","Cartridge","Join Phineas and Ferb in their backyard adventures as they build wild inventions and thwart Dr. Doofenshmirtz's evil schemes in this platform adventure based on the hit Disney Channel series.","E","$5","Disc/Cart Only"
"TimeSplitters 2","2002","PlayStation 2","Eidos Interactive","Free Radical Design","First-Person Shooter","Disc","A time-traveling FPS where players pursue the evil TimeSplitters across multiple historical periods from Wild West to cyberpunk future, featuring extensive multiplayer modes, map editor, and over 150 playable characters in a sequel that expanded on the original's arcade-style gameplay","T (Teen)","$28","Complete in Box (CIB)"
"Buffy The Vampire Slayer Chaos Bleeds","2003","PlayStation 2","Vivendi Universal Games","Eurocom","Action","Disc","Action game based on the Buffy TV series featuring the Scooby Gang fighting supernatural threats in Sunnydale.","6.5","$24.00","Complete in Box (CIB)"
"Darkwatch","2005","PlayStation 2","Capcom","High Moon Studios","First-Person Shooter","Disc","A supernatural Western FPS where players control Jericho Cross, an outlaw turned vampire hunter fighting undead forces in the American frontier","7.4","$20.00","Complete in Box (CIB)"
"Forza Motorsport 4","2011","Xbox 360","Microsoft Studios","Turn 10 Studios","Racing","Disc","Fourth installment in the Forza Motorsport series featuring over 500 cars and 26 tracks with advanced physics simulation","9.1","$12.00","Complete in Box (CIB)"
"Gran Turismo 3 A-spec","2001","PlayStation 2","Sony Computer Entertainment","Polyphony Digital","Racing","Disc","Premier racing simulation featuring over 150 cars and realistic driving physics","9.5","$10.00","Complete in Box (CIB)"
